time (s)	magX	magY	magZ
5766.905897	337.337799	-325.475159	-308.400360
5766.909224	339.734039	-326.410278	-313.192871
5766.912557	341.954987	-327.053223	-317.342499
5766.915882	343.942108	-328.105194	-321.083008
5766.919224	346.338379	-329.215668	-325.875519
5766.922554	348.442413	-330.852142	-330.784943
5766.925884	350.020447	-332.488617	-335.226776
5766.929218	352.124481	-333.482178	-340.019287
5766.932552	353.760956	-335.001770	-344.052032
5766.935886	356.157196	-335.995331	-350.188782
5766.939216	358.261261	-337.456451	-356.033325
5766.942556	360.540588	-339.034515	-361.468750
5766.945887	362.761536	-340.846283	-367.956177
5766.949212	364.748657	-342.424316	-373.917603
5766.952557	367.378723	-344.528351	-380.697235
5766.955879	369.658081	-346.281708	-387.710724
5766.959221	372.463470	-348.035065	-393.263000
5766.962549	374.567474	-349.846893	-400.919373
5766.965880	376.496185	-351.717133	-408.108124
5766.969215	378.424896	-353.236725	-415.647583
5766.972586	381.697815	-355.106964	-422.953247
5766.975879	384.094086	-357.152557	-431.310944
5766.979213	386.490356	-358.613678	-439.376404
5766.982544	388.243713	-359.899506	-448.143188
5766.985874	390.464630	-361.477509	-456.851562
5766.989212	393.562225	-362.295746	-464.800110
5766.992544	396.542969	-364.165985	-473.450043
5766.995873	398.646973	-365.860901	-482.801300
5766.999215	401.919922	-366.620697	-491.801880
5767.002548	403.965485	-367.731171	-500.685547
5767.005877	406.946228	-369.309174	-509.744598
5767.009206	409.576233	-370.887207	-519.680298
5767.012543	412.381622	-372.056122	-528.914673
5767.015904	415.479248	-373.108154	-539.960815
5767.019209	418.226166	-374.277039	-549.954956
5767.022546	421.031555	-375.445953	-559.598450
5767.025872	423.252472	-376.205750	-570.060181
5767.029214	425.940979	-377.374634	-580.112732
5767.032539	428.337219	-378.134430	-591.626526
5767.035878	431.551727	-378.660431	-602.146667
5767.039206	434.006439	-379.069550	-611.731750
5767.042537	436.461151	-379.595551	-624.063721
5767.045870	439.091187	-380.647583	-635.285217
5767.049205	441.312103	-381.173584	-647.383362
5767.052542	443.299225	-382.225616	-659.481567
5767.055874	445.695465	-382.810059	-671.112183
5767.059228	448.208649	-383.452972	-683.444153
5767.062539	449.669769	-383.920532	-695.951477
5767.065873	451.306213	-383.862091	-709.101685
5767.069202	452.942719	-384.738739	-722.777893
5767.072533	455.222046	-384.446533	-736.746338
5767.075864	456.098755	-385.323212	-750.247192
5767.079267	457.150757	-385.557007	-763.689636
5767.082541	459.722351	-385.907654	-777.424316
5767.085872	460.073059	-386.141449	-792.386292
5767.089199	461.358856	-385.849243	-806.997620
5767.092536	462.527740	-384.972534	-822.777893
5767.095868	463.053772	-385.206299	-838.148987
5767.099203	463.521301	-384.797211	-853.520142
5767.102534	464.397980	-383.745178	-869.534180
5767.105868	464.456451	-382.693176	-884.963745
5767.109219	464.339569	-382.459412	-901.796021
5767.112529	464.339569	-380.822906	-917.985413
5767.115866	464.807098	-379.595551	-933.765564
5767.119195	463.345978	-377.725311	-949.662720
5767.122530	462.995300	-375.621277	-966.378113
5767.125867	462.527740	-373.867920	-982.625916
