time (s)	det(V)
3642.207387	-0.026241	
3642.208984	-0.019844	
3642.210576	-0.012045	
3642.212174	0.194978	
3642.213732	-0.052264	
3642.215374	0.089251	
3642.216873	0.048694	
3642.218593	0.154038	
3642.220068	0.053198	
3642.221800	0.149567	
3642.223270	0.031843	
3642.225006	0.050333	
3642.226498	0.073863	
3642.228208	-0.013250	
3642.229689	-0.021729	
3642.231401	0.113147	
3642.232891	0.078810	
3642.234603	0.023638	
3642.236114	0.056565	
3642.237797	0.051812	
3642.239306	0.041737	
3642.240964	0.004419	
3642.242487	-0.008714	
3642.244111	-0.012412	
3642.245677	0.102359	
3642.247277	-0.021355	
3642.248886	-0.099472	
3642.250447	0.032125	
3642.252078	0.221203	
3642.253584	0.019686	
3642.255294	-0.027167	
3642.256772	0.022413	
3642.258480	0.016749	
3642.259959	-0.131851	
3642.261688	0.121224	
3642.263183	-0.060715	
3642.264901	-0.020879	
3642.266395	0.019033	
3642.268118	0.125022	
3642.269597	-0.059970	
3642.271395	0.053794	
3642.272881	-0.006776	
3642.274668	0.043485	
3642.276150	-0.074609	
3642.277922	0.070390	
3642.279422	0.035529	
3642.281201	0.081468	
3642.282694	0.087507	
3642.284424	0.093420	
3642.285944	0.001897	
3642.287660	0.020749	
3642.289196	0.053899	
3642.290885	0.036742	
3642.292444	-0.176393	
3642.294150	-0.006663	
3642.295715	0.056090	
3642.297405	0.037672	
3642.298967	0.082213	
3642.300639	0.049137	
3642.302223	-0.016936	
3642.303888	-0.034374	
3642.305493	0.062648	
3642.307129	0.031223	
3642.308758	0.062076	
3642.310388	-0.060659	
3642.312015	0.180343	
3642.313649	-0.063741	
3642.315320	0.140443	
3642.316926	-0.079999	
3642.318601	0.161737	
3642.320204	-0.015171	
3642.321897	0.141124	
3642.323503	-0.103029	
3642.325158	-0.030185	
3642.326734	0.010030	
3642.328450	0.133196	
3642.329992	0.031892	
3642.331713	0.051421	
3642.333263	0.040319	
3642.334964	0.164395	
3642.336503	-0.127195	
3642.338237	0.004499	
3642.339759	-0.142897	
3642.341518	0.083966	
3642.342996	-0.023570	
3642.344780	-0.019481	
3642.346271	-0.079286	
3642.348036	0.099829	
3642.349526	0.025112	
3642.351308	0.090766	
3642.352790	-0.015534	
3642.354566	-0.007554	
3642.356075	0.056352	
3642.357833	-0.023884	
3642.359348	-0.078698	
3642.361109	0.112402	
3642.362624	0.022340	
3642.364375	0.060396	
3642.365897	0.044057	
3642.367628	0.018151	
3642.369170	-0.019510	
3642.370887	0.028871	
3642.372439	0.115387	
3642.374149	0.032609	
3642.375700	-0.087254	
3642.377386	0.056891	
3642.378957	0.060066	
3642.380624	0.082467	
3642.382218	0.081251	
3642.383885	0.024242	
3642.385471	-0.029975	
3642.387120	-0.028896	
3642.388723	-0.009338	
3642.390343	0.009845	
3642.392006	-0.071012	
3642.393587	-0.106187	
3642.395270	0.015533	
3642.396871	-0.050121	
3642.398550	0.105429	
3642.400150	-0.014547	
3642.401826	0.120632	
3642.403411	-0.095202	
3642.405111	0.131500	
3642.406674	-0.056453	
3642.408398	-0.024742	
3642.409947	-0.109003	
3642.411639	0.111068	
3642.413178	0.057713	
3642.414900	0.215704	
3642.416394	-0.017242	
3642.418179	0.097287	
3642.419658	0.006658	
3642.421439	0.004032	
3642.422928	-0.019522	
3642.424701	0.076340	
3642.426189	-0.078275	
3642.427975	0.065999	
3642.429467	0.039666	
3642.431257	0.067816	
3642.432747	0.001945	
3642.434509	0.058745	
3642.436011	0.052726	
3642.437758	0.095418	
3642.439275	-0.057283	
3642.441012	0.008656	
3642.442541	0.021813	
3642.444268	0.060372	
3642.445807	0.025611	
3642.447528	-0.009886	
3642.449071	-0.078722	
3642.450762	0.048166	
3642.452313	0.053576	
3642.454000	0.075861	
3642.455586	0.086133	
3642.457225	0.016773	
3642.458822	0.012975	
3642.460464	-0.031570	
3642.462071	0.132676	
3642.463710	-0.043929	
3642.465320	0.061238	
3642.466951	-0.075229	
3642.468609	0.301435	
3642.470207	-0.085622	
3642.471884	-0.049255	
3642.473466	0.008262	
3642.475135	0.015811	
3642.476720	-0.104902	
3642.478420	0.101066	
3642.480015	0.020024	
3642.481736	0.187320	
3642.483287	-0.032134	
3642.484991	0.092743	
3642.486540	-0.012750	
3642.488268	0.142546	
3642.489801	-0.008166	
3642.491528	0.004390	
3642.493026	-0.158543	
3642.494816	-0.001378	
3642.496298	-0.066899	
3642.498085	0.074064	
3642.499572	-0.026305	
3642.501346	0.106081	
3642.502835	-0.037810	
3642.504623	-0.011993	
3642.506114	0.007085	
3642.507876	-0.005745	
3642.509380	-0.157907	
3642.511147	-0.021044	
3642.512648	-0.121007	
3642.514396	0.005208	
3642.515919	0.007327	
3642.517648	0.022389	
3642.519191	-0.064937	
3642.520900	0.104039	
3642.522440	-0.046318	
3642.524146	-0.058737	
3642.525697	-0.189900	
3642.527380	-0.048912	
3642.528945	0.117643	
3642.530630	-0.013604	
3642.532228	0.090492	
3642.533880	-0.002248	
3642.535489	-0.009145	
3642.537119	0.055067	
3642.538737	-0.000673	
3642.540381	-0.047241	
3642.541994	0.035545	
3642.543608	-0.131227	
3642.545279	0.175332	
3642.546874	0.047070	
3642.548543	0.106190	
3642.550129	-0.029814	
3642.551805	0.068771	
3642.553399	-0.041210	
3642.555100	0.079994	
3642.556667	-0.034149	
3642.558400	0.008310	
3642.559939	0.076465	
3642.561648	-0.032513	
3642.563216	-0.108612	
3642.564904	0.170994	
3642.566432	0.035735	
3642.568182	0.223334	
3642.569669	0.001071	
3642.571456	0.115649	
3642.572937	0.033700	
3642.574725	0.006316	
3642.576208	-0.133813	
3642.577970	0.058209	
3642.579450	-0.028763	
3642.581238	0.059973	
3642.582739	0.013309	
3642.584526	0.023513	
3642.586027	0.034470	
3642.587775	0.050116	
3642.589290	-0.037218	
3642.591026	0.017869	
3642.592547	-0.108959	
3642.594280	0.026611	
3642.595826	-0.054894	
3642.597565	0.062644	
3642.599109	0.049882	
3642.600823	0.062543	
3642.602365	-0.005987	
3642.604047	0.001160	
3642.605624	0.098573	
3642.607303	-0.031329	
3642.608892	-0.039704	
3642.610555	0.071184	
3642.612142	0.119588	
3642.613800	-0.085417	
3642.615409	0.067808	
3642.617062	-0.062439	
3642.618680	0.053786	
3642.620310	-0.039071	
3642.621965	0.062716	
3642.623577	-0.062983	
3642.625243	0.044033	
3642.626844	-0.137950	
3642.628507	0.002759	
3642.630086	-0.085336	
3642.631786	0.162852	
3642.633363	-0.083580	
3642.635067	0.179808	
3642.636634	0.028504	
3642.638366	0.037854	
3642.639924	0.018365	
3642.641630	0.024258	
3642.643190	-0.056611	
3642.644911	0.102565	
3642.646416	0.021446	
3642.648176	0.038953	
3642.649653	0.013293	
3642.651432	0.190386	
3642.652920	-0.029609	
3642.654690	-0.031848	
3642.656181	-0.069433	
3642.657968	0.000898	
3642.659453	-0.075838	
3642.661213	0.017281	
3642.662707	-0.030201	
3642.664471	0.022099	
3642.665977	-0.049984	
3642.667710	0.056859	
3642.669226	0.041999	
3642.670942	0.085517	
3642.672496	0.107000	
3642.674196	0.018570	
3642.675750	-0.014825	
3642.677446	0.033507	
3642.679008	-0.011481	
3642.680721	0.048428	
3642.682296	-0.076531	
3642.683995	0.006679	
3642.685591	0.091293	
3642.687266	0.042450	
3642.688851	0.029547	
3642.690521	-0.059148	
3642.692134	-0.056361	
3642.693778	-0.113204	
3642.695397	0.027473	
3642.697037	-0.071362	
3642.698673	0.172246	
3642.700322	-0.040042	
3642.701951	0.145136	
3642.703581	-0.032565	
3642.705241	-0.035571	
3642.706825	-0.007223	
3642.708508	0.024202	
3642.710088	0.041499	
3642.711789	0.000233	
3642.713358	-0.113740	
3642.715042	0.157692	
3642.716602	0.044037	
3642.718299	0.139847	
3642.719850	-0.036441	
3642.721560	0.077186	
3642.723070	0.058366	
3642.724842	0.025797	
3642.726330	-0.022213	
3642.728091	0.124809	
3642.729578	-0.017822	
3642.731372	0.043658	
3642.732867	0.063558	
3642.734662	0.145853	
3642.736149	-0.001382	
3642.737917	0.050031	
3642.739398	0.150602	
3642.741136	0.009277	
3642.742642	0.129824	
