time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4438.620593	219.326614	0.061183	-0.100000	93
4439.635385	43.655449	0.047886	-0.100000	95
4440.584067	226.354019	0.036768	-0.100000	97
4442.122533	335.282806	0.780815	-0.024861	99
4444.145033	335.317596	0.629416	-0.020993	101
4446.164024	335.391235	0.504584	-0.016983	103
4448.182600	335.248810	0.400411	-0.014190	105
4450.205398	335.123718	0.318320	-0.011459	107
4452.224206	335.213531	0.254911	-0.008827	109
4454.228907	335.205353	0.201923	-0.007274	111
4456.223451	335.316986	0.161995	-0.005456	113
4458.160594	341.642578	0.092672	-0.009744	115
4459.343516	156.018311	0.097169	-0.005144	117
4460.079810	337.282501	0.031581	-0.000367	119
4461.176747	245.146896	0.004199	-0.050161	121
4462.206371	335.223053	0.083551	-0.002462	123
4463.454670	155.334473	0.037897	-0.001076	125
4464.031056	335.594452	0.016321	-0.000104	127
4465.145484	247.254990	0.002789	-0.030955	129
4465.879888	66.644989	0.000495	-0.014470	131
4466.889497	255.542465	0.004893	-0.022107	133
4467.678603	331.516815	0.030012	0.001423	135
4469.644012	158.294571	0.028642	-0.000350	137
4470.234471	334.122314	0.015649	-0.000224	139
4470.846583	244.881363	0.001474	-0.006179	141
4471.503311	158.135620	0.014041	-0.000087	143
4472.097872	332.740448	0.004420	0.000174	145
4472.529874	331.273132	0.011361	-0.000329	147
4473.134508	165.455063	0.006251	-0.000393	149
4473.593980	158.737152	0.009748	0.000118	151
4474.446301	333.002197	0.015524	-0.000373	153
4475.247335	158.561829	0.016860	-0.000244	155
4476.338845	333.958984	0.005426	0.000203	157
4476.783276	248.392700	0.000509	-0.003883	159
4477.580319	157.268478	0.007972	-0.000047	161
4478.255716	335.797852	0.005075	-0.000084	163
4479.046531	250.343872	0.000355	-0.002588	165
4479.512613	157.522446	0.006118	-0.000048	167
4480.064994	54.612740	0.000417	-0.001203	169
4480.649174	336.449036	0.004738	-0.000071	171
4481.432004	155.582886	0.008425	-0.000076	173
4482.640266	336.465759	0.006130	-0.000153	175
4483.738112	152.941071	0.005432	-0.000079	177
4484.311866	336.877472	0.001850	0.000021	179
4485.733879	155.717850	0.004216	-0.000076	181
4486.692689	339.201630	0.003153	-0.000091	183
4487.105629	147.854950	0.001257	0.000313	185
4487.932369	140.946259	0.001478	-0.000206	187
4488.663047	336.086731	0.002570	-0.000043	189
4489.480342	163.130005	0.001800	-0.000120	191
4490.033206	66.551559	0.000058	-0.000355	193
4490.470593	335.266876	0.001574	-0.000060	195
4491.041086	257.066833	0.000316	-0.000534	197
4491.681113	158.585937	0.001307	0.000027	199
4492.502101	332.642181	0.001730	-0.000041	201
4493.757592	181.815170	0.001113	0.000132	203
4494.955369	312.867767	0.001443	-0.000483	205
4496.128038	255.735352	0.000028	0.000228	207
4496.841660	337.477539	0.001807	-0.000022	209
4497.565692	229.089020	-0.000050	-0.000150	211
4498.050907	333.635162	0.000574	0.000102	213
4499.092114	347.661743	0.001816	0.000026	215
4499.856725	90.164787	0.000345	-0.000092	217
4500.937890	350.621979	0.002064	0.000047	219
4501.992268	53.505383	0.000591	0.000051	221
4502.870938	8.143324	0.002417	0.000152	223
4504.121840	68.201477	0.000519	-0.000123	225
4505.183792	20.479158	0.002084	0.000056	227
4505.828848	72.149147	0.000588	-0.000103	229
4506.561496	26.732502	0.000729	0.000068	231
4507.345454	38.871952	0.001051	0.000096	233
4507.971038	85.721619	0.000807	-0.000075	235
4508.970613	43.997726	0.001206	0.000163	237
4510.002239	78.741234	0.001157	-0.000116	239
4511.268917	42.323673	0.000808	-0.000029	241
4512.304172	91.576332	0.000783	0.000024	243
4513.554472	70.403641	0.001105	0.000027	245
4514.014001	96.905701	0.000414	0.000041	247
4514.524473	78.170471	0.000263	0.000030	249
4514.980647	87.563560	0.000332	-0.000119	251
4515.461169	112.495476	0.000533	0.000018	253
4516.332993	107.995483	0.000332	0.000073	255
4516.909947	109.294502	0.000333	0.000038	1
4517.541043	87.583023	0.000570	0.000083	3
