time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
8244.677074	181.334778	0.581154	0.100000	203
8245.410125	81.896400	0.489918	0.100000	205
8246.091665	129.956253	0.697599	0.100000	207
8247.105557	315.000397	0.539136	-0.100000	209
8247.772038	6.152866	0.499046	0.100000	211
8248.584916	224.545853	0.228522	0.100000	213
8249.533426	26.426531	0.133209	0.100000	215
8250.129403	132.493439	0.565358	0.100000	217
8250.733575	237.963531	0.119754	0.100000	219
8251.658095	44.707001	0.159491	0.100000	221
8252.729222	224.759216	0.162121	0.100000	223
8253.629245	44.285130	0.131651	0.100000	225
8254.747495	224.771088	0.145296	0.100000	227
8255.710756	44.401379	0.116608	0.100000	229
8256.617615	224.803696	0.126063	0.100000	231
8258.201640	119.571983	0.425534	0.100000	233
8259.220496	328.128082	0.438210	0.100000	235
8260.785440	224.698563	0.107831	0.100000	237
8262.235918	118.790726	0.400715	0.100000	239
8263.261826	328.979462	0.428094	0.100000	241
8265.280809	299.604919	0.403573	0.100000	243
8266.270663	152.044128	0.364439	0.100000	245
8268.287721	119.658371	0.414187	0.100000	247
8269.317950	333.034393	0.356912	0.100000	249
8271.335009	314.013733	0.702878	0.056658	251
8273.355392	314.057556	0.667541	0.055125	253
8275.370463	314.177307	0.629956	0.052934	255
8277.388903	314.374603	0.598043	0.051214	1
8279.405346	314.341125	0.565086	0.048970	3
8281.428016	314.429993	0.534428	0.047177	5
8283.443253	314.431122	0.505921	0.045306	7
8285.460266	314.362457	0.478343	0.043409	9
8287.477739	314.625519	0.452073	0.041483	11
8289.499513	314.445923	0.426830	0.039856	13
8291.524699	314.297119	0.402439	0.038509	15
8293.540624	314.286224	0.381440	0.036258	17
8295.551553	314.479828	0.358966	0.034654	19
8297.571758	290.443237	0.220602	0.098592	21
8298.532195	160.598450	0.207656	0.100000	23
8300.565224	135.717056	0.310854	0.031324	25
8302.077884	46.748634	0.024654	0.100000	27
8303.094345	223.170425	0.028103	0.100000	29
8304.591352	135.611176	0.276603	0.028721	31
8306.604383	118.472511	0.179169	0.055218	33
8307.673632	333.982544	0.171737	0.058938	35
8309.692036	313.796051	0.241956	0.025327	37
8311.681759	313.793854	0.224415	0.024444	39
8313.712604	314.274353	0.215459	0.022771	41
8315.755222	314.095123	0.202368	0.022208	43
8317.233989	222.166992	0.019442	0.091058	45
8318.233002	43.325905	0.018336	0.070014	47
8319.266067	221.737106	0.019103	0.090154	49
8320.715517	134.395660	0.176421	0.019097	51
8322.287842	42.865368	0.017273	0.071698	53
8323.286243	225.247498	0.016663	0.079581	55
8324.335630	47.159466	0.014359	0.056867	57
8325.302634	216.019882	0.018320	0.060077	59
8326.330791	35.754143	0.019689	0.060310	61
8327.860491	268.394714	0.073476	0.073159	63
8328.795141	162.678909	0.091653	0.046001	65
8330.359015	45.055920	0.012305	0.045553	67
8331.346947	221.728638	0.014603	0.062129	69
8332.458749	43.851635	0.012406	0.047682	71
8333.856880	304.630890	0.104213	0.022375	73
8334.814594	136.956161	0.078037	0.004248	75
8335.860588	313.109619	0.095817	0.008722	77
8336.775491	135.767944	0.099014	0.007539	79
8337.728111	309.073059	0.043521	0.002318	81
8338.431267	39.878300	0.010414	0.029295	83
8339.511263	180.397522	0.035496	0.030008	85
8339.973833	322.602386	0.052256	0.004700	87
8340.902817	134.808472	0.073717	0.004761	89
8341.714326	305.641174	0.043482	0.004896	91
8342.856044	125.310623	0.074324	0.014682	93
8343.832684	309.660217	0.047405	0.003040	95
8344.380774	346.465759	0.014020	0.004790	97
8344.860997	137.904007	0.066776	0.004243	99
8345.994133	312.577576	0.059466	0.004149	101
8346.662570	95.365356	0.013307	0.007846	103
8347.434037	155.947617	0.036036	0.010922	105
8347.964223	317.906036	0.048028	0.003290	107
8348.631961	114.276733	0.013112	0.002753	109
8349.582127	169.719818	0.031744	0.018112	111
8350.182916	322.195129	0.040970	0.003838	113
8350.788533	134.581207	0.051333	0.003318	115
8351.848517	298.206635	0.028060	0.006139	117
8352.746301	108.699677	0.041687	0.020190	119
8353.778277	305.395294	0.033490	0.004002	121
8354.488461	359.378235	0.010691	0.006528	123
8354.934728	140.363541	0.047518	0.003257	125
8355.840921	308.643524	0.022758	0.001274	127
8356.299201	336.699493	0.018434	0.004218	129
8356.968003	144.926727	0.045756	0.006695	131
8358.064216	316.846771	0.032787	0.001804	133
8358.623018	77.983208	0.005668	0.004937	135
8359.135098	138.484589	0.030092	0.001239	137
8359.750855	293.549377	0.017456	0.004650	139
8360.314424	324.912506	0.020390	0.001629	141
8360.829388	125.255814	0.015219	0.001411	143
8361.347389	142.527740	0.022500	0.001450	145
8361.837068	304.491608	0.017883	0.001772	147
8362.293777	324.431213	0.019153	0.001562	149
8362.813005	126.058067	0.015537	0.001515	151
8363.694465	182.851944	0.013757	0.011274	153
8364.162269	318.114471	0.028217	0.001934	155
8364.755443	114.251015	0.008806	0.001995	157
8365.336982	141.480331	0.024936	0.001450	159
8365.939352	308.911804	0.020602	0.001414	161
8366.424659	331.100159	0.012442	0.001503	163
8366.935324	133.597366	0.023249	0.000725	165
8367.518377	197.344925	0.005512	0.006563	167
8368.146149	313.896057	0.020944	0.000604	169
8368.633822	41.051285	0.003644	0.006271	171
8369.170926	135.687057	0.018665	0.000719	173
8369.839470	289.535492	0.021022	0.008991	175
8370.589388	358.487213	0.005455	0.002693	177
8371.020009	133.463226	0.021017	0.000948	179
8371.596217	168.823151	0.005636	0.002236	181
8372.090710	310.510559	0.017352	0.000792	183
8372.587642	343.865082	0.008773	0.002505	185
8373.040045	135.203705	0.023953	0.001166	187
8373.707871	222.956543	0.002426	0.003550	189
8374.158072	313.491791	0.016415	0.000581	191
8374.637494	6.543663	0.005371	0.003417	193
8375.170502	141.389603	0.027048	0.002661	195
8376.042686	310.523132	0.013085	0.000628	197
8376.591234	339.642883	0.010121	0.002486	199
8377.172278	132.472290	0.016390	0.000844	201
8377.792076	217.142303	0.003437	0.006380	203
8378.257144	316.411835	0.016259	0.000827	205
8378.758365	41.940762	0.002567	0.003195	207
8379.441956	139.921738	0.022530	0.001732	209
8380.070557	309.682617	0.016077	0.001210	211
8380.619361	344.449677	0.006259	0.001796	213
8381.092063	129.735306	0.012372	0.000592	215
8381.691992	171.946304	0.007423	0.003320	217
8382.173493	313.044678	0.011964	0.000513	219
8382.646868	339.508392	0.006365	0.001442	221
8383.150815	131.777649	0.017068	0.001300	223
8383.721436	194.008423	0.002994	0.002145	225
8384.193632	312.205627	0.011938	0.000415	227
8384.661068	341.403625	0.006169	0.001395	229
8385.093933	126.314171	0.009397	0.000450	231
8385.818534	182.075699	0.006936	0.005180	233
8386.442129	316.046021	0.014324	0.000693	235
8386.877447	87.851898	0.004134	0.002448	237
8387.375509	136.682190	0.010892	0.000416	239
8387.936392	254.063477	0.003944	0.003839	241
8388.428071	318.094269	0.010913	0.000500	243
8388.964189	91.537582	0.004201	0.002029	245
8389.593971	140.724075	0.012916	0.000898	247
8390.061054	301.687195	0.007252	0.000766	249
8390.499555	321.728729	0.009093	0.000601	251
8391.013050	111.560959	0.005240	0.000848	253
8391.645671	148.373825	0.011543	0.001985	255
8392.252700	310.368469	0.009448	0.000489	1
8392.671835	329.347504	0.005332	0.000522	3
8393.118450	122.829247	0.007099	0.000823	5
8393.593749	143.000244	0.007861	0.000645	7
8394.088544	300.779053	0.005832	0.000810	9
8394.514208	321.973907	0.008047	0.000527	11
8395.061797	111.809883	0.005881	0.001250	13
8395.580128	142.250656	0.008126	0.000389	15
8396.338444	305.187225	0.012074	-0.000270	17
8396.872166	138.151062	0.341240	0.015811	19
8397.800377	335.843353	0.775602	0.100000	21
8398.249900	288.176636	-0.052998	-0.100000	23
