time (s)	det(V)
9835.945680	0.094701	
9835.947249	0.085211	
9835.948919	0.145148	
9835.950465	-0.061215	
9835.952172	0.095716	
9835.953687	0.110609	
9835.955473	-0.013012	
9835.956955	-0.019429	
9835.958743	0.106625	
9835.960222	-0.071282	
9835.961993	0.112096	
9835.963476	0.000342	
9835.965271	0.091885	
9835.966752	-0.092358	
9835.968536	0.032283	
9835.970018	-0.125571	
9835.971794	-0.006349	
9835.973290	-0.052506	
9835.975015	-0.041553	
9835.976533	0.008922	
9835.978243	0.076731	
9835.979774	-0.115303	
9835.981493	0.086733	
9835.983026	0.109384	
9835.984732	-0.042024	
9835.986288	-0.031800	
9835.987987	-0.000077	
9835.989557	-0.064450	
9835.991234	-0.013282	
9835.992819	-0.037291	
9835.994469	-0.021153	
9835.996082	-0.120419	
9835.997721	-0.112995	
9835.999338	0.192871	
9836.000984	-0.140174	
9836.002591	-0.120000	
9836.004192	-0.204575	
9836.005861	-0.041166	
9836.007448	-0.195588	
9836.009130	-0.021258	
9836.010709	-0.163856	
9836.012393	-0.061336	
9836.013966	-0.187893	
9836.015659	-0.013955	
9836.017225	-0.130647	
9836.018919	-0.128427	
9836.020468	-0.278011	
9836.022187	-0.295687	
9836.023706	-0.165504	
9836.025448	-0.135348	
9836.026937	-0.071092	
9836.028711	-0.143703	
9836.030202	-0.200063	
9836.031986	-0.153931	
9836.033469	-0.228567	
9836.035243	-0.225240	
9836.036720	-0.360620	
9836.038482	-0.290003	
9836.039970	-0.162257	
9836.041704	-0.200792	
9836.043223	-0.396770	
9836.044965	-0.206436	
9836.046483	-0.206553	
9836.048193	-0.173960	
9836.049719	-0.224213	
9836.051427	-0.307168	
9836.052978	-0.380983	
9836.054664	-0.346799	
9836.056230	-0.333646	
9836.057900	-0.322451	
9836.059497	-0.473445	
9836.061160	-0.385434	
9836.062741	-0.379980	
9836.064372	-0.407755	
9836.065961	-0.320679	
9836.067585	-0.511239	
9836.069259	-0.340700	
9836.070849	-0.558402	
9836.072509	-0.555188	
9836.073984	-0.531034	
9836.075558	-0.585686	
9836.077049	-0.542406	
9836.078612	-0.676891	
9836.080111	-0.769063	
9836.081604	-0.724317	
9836.083188	-0.495589	
9836.084687	-0.765418	
9836.086280	-0.862387	
9836.087770	-0.934430	
9836.089323	-0.940662	
9836.090850	-0.920319	
9836.092443	-0.960243	
9836.093922	-1.093448	
9836.095505	-1.082209	
9836.096999	-1.362455	
9836.098559	-1.158570	
9836.100089	-1.094092	
9836.101590	-1.444326	
9836.103154	-1.426811	
9836.104694	-1.550525	
9836.106300	-1.549981	
9836.107791	-1.550509	
9836.109461	-1.528047	
9836.110954	-1.663463	
9836.112601	-1.566030	
9836.114092	-1.673429	
9836.115722	-1.609834	
9836.117198	-1.656784	
9836.118834	-1.621456	
9836.120310	-1.667910	
9836.121956	-1.651862	
9836.123446	-1.671616	
9836.125051	-1.652965	
9836.126576	-1.670891	
9836.128127	-1.667503	
9836.129720	-1.662420	
9836.131204	-1.661932	
9836.132863	-1.646846	
9836.134348	-1.664039	
9836.135984	-1.669775	
9836.137501	-1.673683	
9836.139134	-1.666299	
9836.140614	-1.673731	
9836.142254	-1.669695	
9836.143732	-1.674920	
9836.145378	-1.665803	
9836.146873	-1.674891	
9836.148486	-1.666798	
9836.149992	-1.674630	
9836.151575	-1.668019	
9836.153118	-1.670323	
9836.154652	-1.668313	
9836.156257	-1.667467	
9836.157749	-1.671375	
9836.159399	-1.672748	
9836.160907	-1.673244	
9836.162556	-1.670493	
9836.164044	-1.675089	
9836.165689	-1.661868	
9836.167178	-1.673522	
9836.168788	-1.669356	
9836.170285	-1.674480	
9836.171930	-1.672495	
9836.173418	-1.673618	
9836.175023	-1.669900	
9836.176531	-1.672885	
9836.178095	-1.671467	
9836.179682	-1.664760	
9836.181189	-1.664631	
9836.182839	-1.664998	
9836.184338	-1.673852	
9836.185973	-1.673320	
9836.187489	-1.673884	
9836.189137	-1.671628	
9836.190622	-1.674646	
9836.192285	-1.670730	
9836.193756	-1.674718	
9836.195394	-1.669973	
9836.196869	-1.674831	
9836.198504	-1.667210	
9836.199985	-1.674799	
9836.201582	-1.665812	
9836.203140	-1.674682	
9836.204684	-1.671310	
9836.206289	-1.672205	
9836.207771	-1.673429	
9836.209416	-1.673659	
9836.210917	-1.675286	
9836.212576	-1.668780	
9836.214068	-1.675145	
9836.215782	-1.664502	
9836.217260	-1.675089	
9836.218976	-1.668390	
9836.220454	-1.674638	
9836.222165	-1.667971	
9836.223657	-1.675198	
9836.225380	-1.671298	
9836.226867	-1.674477	
9836.228565	-1.657968	
9836.230053	-1.675089	
9836.231737	-1.667274	
9836.233238	-1.674634	
9836.234899	-1.670033	
9836.236428	-1.673788	
9836.238051	-1.671085	
9836.239614	-1.674170	
9836.241202	-1.669908	
9836.242806	-1.672611	
9836.244350	-1.665163	
9836.245970	-1.673558	
9836.247488	-1.675149	
9836.249162	-1.663781	
9836.250654	-1.674319	
9836.252372	-1.658319	
9836.253857	-1.674247	
9836.255579	-1.669526	
9836.257054	-1.670215	
9836.258772	-1.668225	
9836.260253	-1.669570	
9836.261946	-1.664523	
9836.263426	-1.672329	
9836.265131	-1.667262	
9836.266627	-1.656780	
9836.268293	-1.581257	
9836.269815	-1.598027	
9836.271461	-1.454156	
9836.273014	-1.158207	
9836.274639	-0.917648	
9836.276191	-0.614138	
9836.277765	-0.418511	
9836.279365	-0.023651	
9836.280904	0.122879	
9836.282570	0.480115	
9836.284062	0.672064	
9836.285769	1.061027	
9836.287242	1.086180	
9836.288968	1.378475	
9836.290445	1.476552	
9836.292168	1.546448	
9836.293651	1.576035	
9836.295352	1.578477	
9836.296836	1.577635	
9836.298544	1.579049	
9836.300029	1.578598	
9836.301733	1.573590	
9836.303244	1.577897	
9836.304908	1.576317	
9836.306427	1.577667	
9836.308079	1.579645	
9836.309640	1.578787	
9836.311247	1.579597	
9836.312832	1.579194	
9836.314410	1.579883	
9836.316027	1.579580	
9836.317569	1.579766	
9836.319238	1.573167	
9836.320735	1.567604	
9836.322422	1.577075	
9836.323896	1.578851	
9836.325625	1.579560	
9836.327181	1.580072	
9836.328875	1.579411	
9836.330430	1.580012	
9836.332142	1.580052	
9836.333651	1.575613	
9836.335410	1.579705	
9836.336902	1.579834	
9836.338677	1.579879	
9836.340163	1.566392	
9836.341929	1.580048	
9836.343416	1.579025	
9836.345193	1.579742	
9836.346668	1.579838	
9836.348452	1.579782	
9836.349942	1.579895	
9836.351704	1.579754	
9836.353205	1.574771	
9836.354923	1.579854	
9836.356438	1.579158	
9836.358160	1.579818	
9836.359696	1.573840	
9836.361397	1.580084	
9836.362950	1.576164	
9836.364649	1.580173	
9836.366209	1.576060	
9836.367892	1.580144	
9836.369473	1.579564	
9836.371146	1.580020	
9836.372748	1.579677	
9836.374405	1.579721	
9836.375996	1.579391	
9836.377650	1.580285	
9836.379255	1.579830	
9836.380873	1.580201	
9836.382543	1.579947	
9836.384123	1.580080	
9836.385792	1.579540	
9836.387362	1.579999	
9836.389034	1.579250	
9836.390608	1.579955	
9836.392283	1.579637	
9836.393845	1.580120	
9836.395563	1.579822	
