crossing time (s)	slope (V/s)	crossing number
1948.392375	23.302471	1290
1949.396316	22.649734	1291
1950.412029	21.917783	1292
1951.416546	21.822586	1293
1952.427152	21.494467	1294
1953.433904	21.250543	1295
1954.445590	21.350590	1296
1955.445597	20.336107	1297
1956.462650	20.286835	1298
1957.471869	20.245436	1299
1958.480134	20.220280	1300
1959.491810	19.878582	1301
1960.496212	19.713989	1302
1961.503349	19.367989	1303
1962.515168	19.722627	1304
1963.519150	18.871153	1305
1964.535320	18.623273	1306
1965.535332	17.983682	1307
1966.552105	17.826802	1308
1967.551383	17.644769	1309
1968.570528	17.674226	1310
1969.570308	17.110807	1311
1970.589742	16.961085	1312
1971.589623	17.068190	1313
1972.605268	16.809541	1314
1973.609314	16.514845	1315
1974.620668	16.259727	1316
1975.627184	16.308913	1317
1976.634438	16.114499	1318
1977.645134	16.362442	1319
1978.653629	15.870889	1320
1979.663194	15.702498	1321
1980.671325	15.090795	1322
1981.680454	15.149228	1323
1982.688974	15.001187	1324
1983.697534	14.820105	1325
1984.707655	14.766627	1326
1985.721300	14.465255	1327
1986.724850	13.959381	1328
1987.734259	14.023809	1329
1988.742742	13.920205	1330
1989.751543	13.980668	1331
1990.756673	13.956407	1332
1991.766401	13.349455	1333
1992.773982	13.614711	1334
1993.784968	13.123099	1335
1994.794688	13.085022	1336
1995.799011	12.974797	1337
1996.808979	13.033896	1338
1997.814358	12.849170	1339
1998.832039	12.484755	1340
1999.830641	12.344256	1341
2000.850416	12.326659	1342
2001.847603	12.026389	1343
2002.868983	11.826184	1344
2003.864243	11.737806	1345
2004.886533	11.804602	1346
2005.883407	11.446174	1347
2006.902452	11.385008	1348
2007.902034	11.123267	1349
2008.917462	11.075380	1350
2009.919343	10.882517	1351
2010.932952	10.968798	1352
2011.938308	10.705517	1353
2012.948814	10.527446	1354
2013.955741	10.555124	1355
2014.964517	10.304515	1356
2015.974187	10.339081	1357
2016.982418	10.010305	1358
2017.994242	9.841732	1359
2018.998688	9.841737	1360
2020.009203	9.786438	1361
2021.015486	9.680009	1362
2022.026995	9.293641	1363
2023.032043	9.319374	1364
2024.045223	9.143646	1365
2025.049026	9.204372	1366
2026.063490	9.026708	1367
2027.064682	8.869800	1368
2028.080205	8.767599	1369
2029.083091	8.646214	1370
2030.096395	8.473138	1371
2031.098603	8.540081	1372
2032.111768	8.244958	1373
2033.117901	8.440189	1374
2034.128230	8.072603	1375
2035.136295	8.053911	1376
2036.145743	7.901091	1377
