time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
9473.845083	39.242207	-0.003881	-0.100000	211
9475.866604	309.397705	1.287869	-0.003581	213
9477.870319	311.149261	1.275219	-0.003191	215
9479.887751	311.756561	1.223051	-0.008135	217
9481.917992	310.111847	1.199169	-0.008514	219
9483.931262	309.415039	1.175891	-0.004969	221
9485.435438	221.578186	-0.008946	0.100000	223
9486.946743	130.423508	1.136451	-0.007465	225
9488.963836	130.142151	1.107297	-0.006768	227
9490.975584	130.244751	1.086103	-0.006953	229
9493.000929	310.497375	-1.062408	0.007157	231
9495.011612	130.674271	1.033277	-0.007431	233
9497.020790	310.566437	-1.012089	0.008168	235
9499.034368	310.100067	-1.000516	0.009060	237
9501.048617	309.454773	-0.966476	0.008886	239
9503.067562	309.632111	-0.938001	0.007358	241
9505.086405	310.787079	-0.913072	0.006597	243
9507.106917	311.382812	-0.895297	0.008068	245
9509.124122	311.034698	-0.881998	0.009635	247
9511.140455	310.412964	-0.859156	0.009955	249
9513.149259	310.137177	-0.834411	0.009396	251
9515.160472	310.088074	-0.812559	0.009292	253
9517.174280	310.307831	-0.791510	0.009349	255
9519.192000	310.399109	-0.772378	0.009093	1
9521.213239	310.482422	-0.757682	0.010218	3
9522.887618	47.028564	-0.013401	0.100000	5
9524.237097	130.586182	-0.733173	0.009349	7
9526.258399	131.011841	-0.715398	0.009455	9
9528.294644	131.376968	-0.692617	0.010786	11
9530.301821	131.121536	-0.663336	0.011417	13
9532.343068	130.347473	-0.650721	0.010782	15
9534.362752	129.956451	-0.635447	0.010166	17
9536.361368	129.969910	-0.624856	0.009400	19
9538.382796	130.385223	-0.607543	0.010031	21
9540.401409	130.533401	-0.586566	0.009852	23
9542.414121	130.673004	-0.571244	0.009737	25
9544.437979	130.815491	-0.554357	0.009609	27
9546.441357	131.123901	-0.545206	0.010096	29
9548.472326	131.414978	-0.529324	0.010631	31
9550.481777	131.100647	-0.516851	0.010834	33
9552.493113	130.441040	-0.511994	0.010529	35
9554.490602	129.875900	-0.493415	0.009638	37
9556.490995	129.557266	-0.475462	0.009550	39
9558.505862	129.584106	-0.465395	0.009263	41
9560.533501	129.926300	-0.450915	0.009356	43
9562.553718	130.161240	-0.439067	0.009559	45
9564.538480	130.296951	-0.430120	0.009605	47
9566.585607	130.570358	-0.416932	0.009826	49
9568.594644	130.746292	-0.404941	0.009726	51
9570.595396	130.913040	-0.397176	0.009541	53
9572.632990	131.103958	-0.386848	0.009496	55
9575.640706	284.319489	-0.013432	-0.003192	57
9578.710173	130.616226	-0.340340	0.009351	59
9581.646577	4.903089	-0.009283	0.001839	61
9587.696985	217.428085	-0.000971	-0.056958	63
9592.810384	209.795731	-0.014751	0.062715	65
9594.797042	120.694649	-0.177677	0.029524	67
9607.965413	231.814026	0.021511	-0.008723	69
