time (s)	det(V)
8176.548077	0.256939	
8176.549550	0.142805	
8176.551270	0.015458	
8176.552750	-0.003713	
8176.554469	0.051394	
8176.555967	-0.045366	
8176.557674	0.071024	
8176.559152	0.119517	
8176.560867	0.158262	
8176.562355	-0.095011	
8176.564026	0.173146	
8176.565549	0.149440	
8176.567205	0.170902	
8176.568757	0.064752	
8176.570366	0.057469	
8176.571950	-0.056988	
8176.573535	0.230373	
8176.575159	-0.099869	
8176.576711	0.123973	
8176.578331	0.170431	
8176.579841	0.098058	
8176.581512	0.140191	
8176.583004	0.226864	
8176.584736	0.131554	
8176.586207	0.251493	
8176.587930	0.266148	
8176.589411	0.181070	
8176.591120	0.396537	
8176.592595	0.217103	
8176.594298	0.216431	
8176.595778	0.034785	
8176.597458	0.291591	
8176.598962	0.204833	
8176.600631	0.438065	
8176.602167	0.189541	
8176.603897	0.441134	
8176.605420	0.321376	
8176.607132	0.497253	
8176.608677	0.188571	
8176.610376	0.470553	
8176.611942	0.462500	
8176.613605	0.530901	
8176.615181	0.606372	
8176.616811	0.550572	
8176.618419	0.466231	
8176.620057	0.518301	
8176.621659	0.443201	
8176.623297	0.487311	
8176.624925	0.509100	
8176.626523	0.640963	
8176.628203	0.605059	
8176.629781	0.593639	
8176.631469	0.724478	
8176.633029	0.695523	
8176.634724	0.797963	
8176.636295	0.707789	
8176.637991	0.673298	
8176.639551	0.668199	
8176.641261	0.772198	
8176.642802	0.744487	
8176.644528	0.863069	
8176.646035	0.815047	
8176.647780	1.013905	
8176.649259	0.913467	
8176.651034	0.967446	
8176.652526	0.913721	
8176.654315	1.043014	
8176.655791	0.858980	
8176.657571	1.015855	
8176.659045	0.993925	
8176.660811	1.153273	
8176.662303	1.057270	
8176.664035	1.265401	
8176.665558	1.089493	
8176.667312	1.240671	
8176.668836	1.020181	
8176.670557	1.238367	
8176.672088	0.959785	
8176.673800	1.280979	
8176.675344	1.117759	
8176.677022	1.392761	
8176.678591	1.138860	
8176.680281	1.422997	
8176.681870	1.158276	
8176.683533	1.370415	
8176.685125	1.192263	
8176.686774	1.396442	
8176.688364	1.177987	
8176.689999	1.301753	
8176.691618	1.274191	
8176.693233	1.487631	
8176.694906	1.339579	
8176.696487	1.330612	
8176.698155	1.416592	
8176.699748	1.405804	
8176.701415	1.311952	
8176.702999	1.343389	
8176.704685	1.306039	
8176.706230	1.282231	
8176.707924	1.309604	
8176.709464	1.441777	
8176.711190	1.412427	
8176.712693	1.421684	
