time (s)	magX	magY	magZ
8819.343689	-96.254242	195.044434	83.082985
8819.347028	-96.137344	193.524841	81.855644
8819.350359	-95.494453	191.596161	79.342491
8819.353686	-94.968437	189.258347	77.998253
8819.357018	-94.559326	186.978958	75.660439
8819.360373	-93.974861	185.225601	74.257751
8819.363734	-93.741081	183.822906	72.971947
8819.367029	-93.098190	181.777328	70.166573
8819.370357	-92.455292	179.790176	68.939217
8819.373686	-92.279961	178.445938	67.068962
8819.377022	-91.461716	176.984802	64.438919
8819.380354	-90.526596	175.582108	63.386909
8819.383686	-89.533020	174.296326	60.756866
8819.387024	-89.182350	172.718292	59.763298
8819.390357	-87.721214	171.140274	58.185272
8819.393681	-87.428986	170.146698	56.899467
8819.397020	-86.143188	169.562256	56.081245
8819.400348	-85.324959	167.867325	54.912338
8819.403718	-85.091171	166.523087	53.042084
8819.407017	-84.565170	165.354187	52.925186
8819.410351	-83.863823	164.594391	51.756279
8819.413682	-83.513153	163.951492	50.821159
8819.417017	-82.811806	162.490356	50.528923
8819.420346	-82.811806	161.672119	49.944481
8819.423679	-82.052017	161.379898	49.243134
8819.427018	-81.935127	160.737000	48.658676
8819.430351	-80.941559	159.918762	47.840446
8819.433682	-81.409119	159.217422	47.723549
8819.437013	-80.181763	158.691406	47.898895
8819.440352	-81.058449	158.340729	47.898895
8819.443686	-80.532440	157.873169	46.729988
8819.447035	-80.532440	157.990067	47.255989
8819.450343	-80.240211	157.113388	46.905319
8819.453683	-80.766220	156.061371	46.613091
8819.457014	-80.590889	156.061371	46.203972
8819.460343	-80.824669	155.652252	46.028641
8819.463677	-81.175339	155.243134	46.145531
8819.467013	-81.584457	154.834015	46.320862
8819.471663	-81.701347	154.541794	46.262421
8819.475059	-82.168907	154.249557	45.093513
8819.478378	-82.285797	153.781998	46.087082
8819.481334	-82.285797	153.022217	45.677963
8819.485003	-82.870255	152.613098	46.846870
8819.488348	-82.928703	152.905319	45.561073
8819.491259	-83.454704	152.028641	45.444183
8819.495022	-83.454704	152.203979	45.502625
8819.497901	-84.156052	151.853302	45.619514
8819.501271	-83.337814	151.385742	45.619514
8819.504597	-83.922264	151.327286	45.035065
8819.507870	-84.214500	151.268860	44.625954
8819.511192	-84.097603	150.684402	44.099937
8819.514512	-83.980713	150.450623	44.158386
8819.517866	-84.214500	150.450623	43.632378
8819.521244	-84.156052	151.151962	44.158386
8819.524643	-83.746933	150.918182	44.392166
8819.527923	-84.331390	150.567505	43.924606
8819.531282	-84.214500	151.035080	44.099937
8819.534562	-84.389832	151.385742	44.158386
8819.537846	-84.272942	151.327286	44.450615
8819.541196	-84.506721	151.736420	44.216827
8819.544544	-84.214500	152.788422	45.093513
8819.547896	-83.863823	152.963760	45.268845
8819.551249	-84.156052	154.132675	45.619514
8819.554622	-84.565170	154.249557	45.911751
8819.557941	-85.441849	155.360016	45.970192
8819.561184	-85.032730	155.769135	46.320862
8819.564519	-85.208061	156.119812	48.074226
8819.567843	-85.909409	156.762711	47.606667
8819.571220	-85.850967	157.639389	49.184685
8819.574548	-86.201637	158.574509	50.002930
8819.577516	-87.078316	159.626541	51.580948
8819.581260	-88.130333	160.912338	51.931618
8819.584109	-88.481010	161.555237	53.217415
8819.587434	-89.299240	162.139679	54.327873
8819.590750	-90.117477	163.074814	55.613678
8819.594087	-91.403267	163.951492	56.782585
8819.597426	-91.929283	165.061951	57.717712
8819.600753	-93.331970	165.880188	58.711288
8819.604091	-94.734657	166.873764	60.230858
8819.607424	-95.436005	167.984222	60.873756
8819.610800	-96.488022	168.627121	62.159554
8819.614105	-97.773811	169.386917	62.685570
8819.617467	-98.884285	170.731155	64.789597
8819.620852	-99.760963	172.075394	65.490944
8819.624083	-101.163651	172.893631	66.952080
8819.627437	-102.215660	174.179428	69.056114
8819.630749	-103.852127	174.939224	69.815895
8819.634081	-104.787254	175.991226	71.218582
8819.637418	-105.254814	176.867920	72.796616
8819.640760	-107.534195	177.803040	74.140854
8819.644109	-108.703102	179.731735	75.485100
8819.647461	-109.404442	180.666870	76.653999
8819.650770	-110.456459	182.244888	78.290474
8819.654091	-111.099365	183.589127	78.991814
8819.657423	-112.209824	184.758041	80.920509
8819.660757	-113.203392	186.862061	82.615425
8819.664124	-114.021622	188.206314	84.661018
8819.667418	-115.073647	189.901230	86.940392
8819.670748	-115.774986	190.953232	87.992393
8819.673660	-116.827003	193.349503	90.680885
8819.676989	-117.645241	195.219757	91.966682
8819.680320	-118.346581	197.732910	95.181190
8819.683652	-119.573936	198.960266	97.168327
8819.686986	-121.093513	201.414978	99.856819
8819.690321	-121.911751	203.635895	101.960838
8819.693654	-123.197548	205.097015	104.298653
8819.696986	-124.424904	207.376389	107.630043
8819.700316	-125.535362	210.123322	111.487434
8819.703655	-126.762718	211.759781	114.234367
8819.707025	-128.574509	214.740494	117.565742
8819.710322	-130.152542	217.370544	120.604912
8819.713658	-131.496780	219.591476	124.403847
8819.716990	-133.308578	221.753937	128.144348
8819.720316	-135.120392	224.091766	132.177094
8819.723649	-136.873749	226.546463	136.677368
8819.726982	-138.919327	228.533600	140.417877
8819.730319	-141.607819	230.929855	144.918182
8819.733650	-143.478073	232.917007	149.769135
8819.737017	-145.932785	235.722382	154.152557
8819.740318	-147.744583	237.709534	159.295746
8819.743650	-149.790176	240.047333	163.912933
8819.746985	-152.186432	242.385147	169.289886
8819.750321	-154.582703	244.781433	174.783752
8819.753647	-157.154297	246.359436	179.517822
8819.756983	-160.427231	248.521942	184.836334
8819.760312	-162.531265	250.509064	190.154877
8819.763649	-164.985977	252.729980	195.531860
8819.766982	-167.615997	254.132690	201.493256
8819.770311	-170.772049	256.704254	207.220917
8819.773681	-173.285202	258.808319	213.416107
