crossing time (s)	slope (V/s)	crossing number
8819.073141	-19.725892	11324
8819.962142	-20.892197	11325
8820.947449	-19.627079	11326
8822.010970	-17.940165	11327
8823.023909	-11.629036	11328
8824.050451	-16.758659	11329
8825.082833	-16.462973	11330
8826.045984	-18.227472	11331
8827.117011	-12.784183	11332
8828.136065	-15.276000	11333
8829.066619	-11.339859	11334
8830.135697	-10.339188	11335
8831.126335	-10.207024	11336
8832.117172	-9.256947	11337
8833.086151	-10.265891	11338
8834.117069	-10.844681	11339
8834.530080	-0.139769	11340
8835.216987	-11.610099	11341
8836.172458	-11.507239	11342
8837.170937	-10.518136	11343
8838.209242	-5.797529	11344
8839.175123	-9.514087	11345
8840.211244	-3.911677	11346
8841.208051	-10.837491	11347
8842.212306	-5.502119	11348
8843.241830	-6.898760	11349
8844.140396	-4.248235	11350
8845.248490	-9.199463	11351
8846.275920	-6.579937	11352
8847.213782	-3.780697	11353
8848.312150	-10.826119	11354
8849.237389	-3.824245	11355
8850.237565	-7.854979	11356
8851.363308	-9.091049	11357
8852.320896	-8.097166	11358
8853.244344	-2.628510	11359
8854.396979	-6.027265	11360
8855.336233	-5.829292	11361
8856.296324	-3.684787	11362
8857.330474	-3.388867	11363
8858.324890	-2.711169	11364
8859.418939	-1.216636	11365
8860.368381	-2.253985	11366
8861.426054	-4.034767	11367
8862.358052	-3.848902	11368
8863.400151	-5.618207	11369
8864.347434	-6.174401	11370
8865.425692	-1.452632	11371
8866.458981	-2.540013	11372
8867.410500	-4.862799	11373
8868.482355	-2.057687	11374
8869.421743	-5.080833	11375
8870.464472	-2.922437	11376
8871.485881	-0.749361	11377
8872.464850	-3.148426	11378
8873.522650	-1.355495	11379
8874.486958	1.029008	11380
8875.565049	-0.820172	11381
8876.440235	-3.749101	11382
8877.570975	-2.771166	11383
8878.495035	-5.833246	11384
8879.531160	0.772978	11385
8881.578816	1.004450	11386
8882.483176	-1.186198	11387
8883.597043	-1.897959	11388
8884.577023	-3.300605	11389
8885.585425	-0.609967	11390
8886.605077	-1.606626	11391
8887.520217	-1.576278	11392
8891.477026	-3.489822	11393
8892.622828	0.995143	11394
8894.621852	-0.860269	11395
8895.688257	0.599281	11396
8898.576140	-4.013053	11397
8900.645036	-0.957657	11398
8906.648320	-0.791077	11399
8913.678354	-1.177503	11400
8915.690927	2.048990	11401
8921.597193	0.474831	11402
8933.963538	-4.926710	11403
